model,type,speed,Capacity (GB),Form Factor,DRAM Configuration
Kingston 9905701-022.A00G 16GB,DDR4,13550,16,,
Crucial Technology CT16G4DFD824A.C16FAD 16GB,DDR4,13500,16,,
Crucial Technology CT8G4DFS8266.C8FJ 8GB,DDR4,13500,8,,
Patriot Memory (PDP Systems) PSD416G24002 16GB,DDR4,13400,16,,
Micron Technology AFLD48EH1P 8GB,DDR4,13400,8,,
Thermaltake Technology Co Ltd R002D408GX2-2666C19D 8GB,DDR4,13300,8,,
Corsair CMD32GX4M2A2800C16 16GB,DDR4,13200,16,,
Crucial Technology CT8G4DFD824A.C16FBD1 8GB,DDR4,13150,8,,
Samsung M378A1K43CB2-CRC 8GB,DDR4,13050,8,,
Crucial Technology CT4G4DFS8213.M8FB 4GB,DDR4,13000,4,,
Corsair CM4X4GF2666C16K4 4GB,DDR4,13000,4,,
Kingston 9905630-018.A00G 8GB,DDR4,13000,8,,
Corsair CMV16GX4M1A2133C15 16GB,DDR4,12950,16,,
Corsair CMSX8GX4M2A2400C16 4GB,DDR4,12900,4,,
Team Group Inc. TEAMGROUP-UD4-2133 8GB,DDR4,12900,8,,
Kingston 9905700-047.A00G 16GB,DDR4,12850,16,,
A-DATA Technology AM2P26KC8T1-BXRS 8GB,DDR4,12800,8,,
Kingston 9905701-020.A00G 16GB,DDR4,12800,16,,
Corsair CMD64GX4M4B3333C16 16GB,DDR4,12700,16,,
Crucial Technology CT8G4SFS8213.M8FA 8GB,DDR4,12650,8,,
Kingston HP26D4S9S8MH-8 8GB,DDR4,12650,8,,
Micron Technology AFSD416ES1P 16GB,DDR4,12600,16,,
Micron Technology 8ATF51264AZ-2G1B1 4GB,DDR4,12550,4,,
Crucial Technology CT4G4DFS8213.C8FAR2 4GB,DDR4,12550,4,,
Micron Technology MTA8ATF1G64HZ-2G3A1 8GB,DDR4,12500,8,,
Micron Technology 16ATF2G64HZ-2G3E1 16GB,DDR4,12450,16,,
A-DATA Technology AE4S240038G17-BHYA 8GB,DDR4,12450,8,,
Mushkin 99[2/7/4]190F 4GB,DDR4,12400,4,,
Kingston 9905625-142.A00G 16GB,DDR4,12250,16,,
Crucial Technology CT4G4DFS8213.C8FAR11 4GB,DDR4,12200,4,,
Kingston ACR21D4S15HAG/8G 8GB,DDR4,12150,8,,
Crucial Technology BLS4G4D240FSA.M8FADM 4GB,DDR4,12150,4,,
G Skill Intl F4-2133C15-4GRK 4GB,DDR4,12100,4,,
G Skill Intl F4-2400C15-4GRK 4GB,DDR4,11950,4,,
PUSKILL PJ16TFK1GM8 16GB,DDR4,11700,16,,
G Skill Intl F4-2400C17-8GISM 8GB,DDR4,11650,8,,
Micron Technology 36ASF4G72PZ-2G6D1 32GB,DDR4,11150,32,,
OCMEMORY OCM2933CL16-16GBH 16GB,DDR4,15350,16,,
Gloway International Co. Ltd. TYP4U3200E16082C 8GB,DDR4,14050,8,,
Asgard VMA45UG-MEC1U2BQ2 8GB,DDR4,13950,8,,
Kingston 9905701-143.A00G 16GB,DDR4,13700,16,,
SK Hynix HMAA1GU6CJR6N-XN 8GB,DDR4,13650,8,,
Essencore Limited KD48GU881-26N190D 8GB,DDR4,13550,8,,
OM Nanotech Pvt.Ltd V1D4L816GB2G82G83200 16GB,DDR4,13300,16,,
Kingston KHX3000C16D4/16GX 16GB,DDR4,13300,16,,
SK Hynix HMA851U6DJR6N-XN 4GB,DDR4,13250,4,,
Kingston MSI24D4U7D8MH-16 16GB,DDR4,13200,16,,
Kingston HX432C15PB3/16G 16GB,DDR4,13200,16,,
Patriot Memory (PDP Systems) 2400 C16 Series 16GB,DDR4,13100,16,,
Kingston KHX2133C14/8G 8GB,DDR4,13100,8,,
Samsung M378A2K43CB1-CRC 16GB,DDR4,13100,16,,
Kingston 9905630-005.A00G 8GB,DDR4,13050,8,,
G Skill Intl F4-3400C16-8GTZKW 8GB,DDR4,13050,8,,
SanMax Technologies Inc. SMD4-U4G28HA-21P 4GB,DDR4,13000,4,,
Crucial Technology CT4G4DFS8213.C8FBD2 4GB,DDR4,12950,4,,
G Skill Intl F4-2133C15-8GNT 8GB,DDR4,12900,8,,
Samsung M471A2K43DB1-CTD 16GB,DDR4,12850,16,,
UMAX Technology D4-2666-8GB-1024X8-L 8GB,DDR4,12800,8,,
Kingston KKRVFX-MIE 8GB,DDR4,12800,8,,
Samsung M471A5143SB1-CRC 4GB,DDR4,12750,4,,
Micron Technology 8ATF1G64AZ-2G3A1 8GB,DDR4,12700,8,,
Corsair CMD128GX4M8B2800C14 16GB,DDR4,12700,16,,
Crucial Technology CT4G4DFS8213.M8FA 4GB,DDR4,12700,4,,
Kingston HP24D4U7S8MBP-8 8GB,DDR4,12650,8,,
Micron Technology 16ATF2G64AZ-2G3A1 16GB,DDR4,12650,16,,
Micron Technology 16ATF1G64AZ-2G1B1 8GB,DDR4,12650,8,,
Kingston KM0VW4-MID 8GB,DDR4,12650,8,,
A-DATA Technology AO2P32NC8W1-BD3SHC 8GB,DDR4,12650,8,,
Crucial Technology BLS16G4S240FSD.16FD 16GB,DDR4,12600,16,,
Samsung M471A5244CB0-CRC 4GB,DDR4,12600,4,,
Crucial Technology CT16G4SFD824A.C16FBR 16GB,DDR4,12550,16,,
Kingston 9905625-030.A00G 8GB,DDR4,12550,8,,
Crucial Technology CT8G4SFS8213.C8FAD1 8GB,DDR4,12500,8,,
Samsung M378A5143DB0-CPB 4GB,DDR4,12500,4,,
G Skill Intl F4-3333C16-16GVK 16GB,DDR4,12450,16,,
Corsair CMD16GX4M4A2800C16 4GB,DDR4,12400,4,,
Kingston 99U5700-032.A00G 16GB,DDR4,12350,16,,
Micron Technology 8ATF1G64HZ-2G3B1 8GB,DDR4,12350,8,,
Crucial Technology CT8G4SFRA32A.M4FF 8GB,DDR4,12350,8,,
Micron Technology 16ATF1G64HZ-2G1B1 8GB,DDR4,12200,8,,
Kingston 9905711-015.A00G 4GB,DDR4,12200,4,,
Patriot Memory (PDP Systems) PSD416G24002S 16GB,DDR4,12150,16,,
Micron Technology 16ATF2G64HZ-2G1A1 16GB,DDR4,12150,16,,
Crucial Technology BLS8G4D240FSB.16FAR 8GB,DDR4,12050,8,,
Shenzhen Xingmem Technology Corp CM4X8GF2133C1XMP 8GB,DDR4,12050,8,,
G Skill Intl F4-2400C15-4GRB 4GB,DDR4,12050,4,,
Crucial Technology CT4G4DFS8213.C8FAR1 4GB,DDR4,12000,4,,
Corsair CMK64GX4M8A2133C13 8GB,DDR4,11900,8,,
Kingston 9905598-006.A00G 8GB,DDR4,11900,8,,
Wilk Elektronik S.A. GR2133S464L15S/8G 8GB,DDR4,11900,8,,
Corsair CMSO32GX4M2A2133C15 16GB,DDR4,11850,16,,
Corsair CMD64GX4M8A2400C14 8GB,DDR4,11750,8,,
Corsair CMD64GX4M8A2800C16 8GB,DDR4,11700,8,,
Crucial Technology CT8G4SFD8213.C16FHP 8GB,DDR4,11700,8,,
Samsung M391A1G43EB1-CPB 8GB,DDR4,11450,8,,
Shanghai Kuxin Microelectronics Ltd NMUD416E82-3200 16GB,DDR4,15300,16,,
Samsung M378A2G43BB3-CWE 16GB,DDR4,14250,16,,
Shenzen Recadata Storage Technology 8GB,DDR4,13750,8,,
Crucial Technology BLS8G4D32AESTK.M8FE1 8GB,DDR4,13600,8,,
Kingston 9905678-121.A00G 8GB,DDR4,13550,8,,
Gloway International Co. Ltd. WAR4U2666D19161C-S 16GB,DDR4,13450,16,,
G Skill Intl F4-2400C16-8GFX 8GB,DDR4,13400,8,,
Kingston HP24D4U7S8MH-8 8GB,DDR4,13300,8,,
Crucial Technology CT8G4SFS8266.C8FJ 8GB,DDR4,13300,8,,
InnoDisk Corporation M4U0-8GSSKCSJ 8GB,DDR4,13250,8,,
Kingston MSI32D4S2S1ME-8 8GB,DDR4,13250,8,,
Crucial Technology CT4G4DFS824A.M8FF 4GB,DDR4,13150,4,,
Kingston 9905678-024.A00G 4GB,DDR4,13100,4,,
Kingston 9905599-026.A00G 8GB,DDR4,13000,8,,
Essencore Limited KD4AGU880-32A160T 16GB,DDR4,13000,16,,
ISD Technology Limited 8GBF1X08QFHH38-135-K 8GB,DDR4,12950,8,,
Kingston HP32D4S2S1ME-8 8GB,DDR4,12950,8,,
Micron Technology 8ATF1G64AZ-2G3H1R 8GB,DDR4,12900,8,,
Kingston 9905702-082.A00G 8GB,DDR4,12850,8,,
Kingston 9905700-011.A00G 8GB,DDR4,12850,8,,
Kingston KHX2400C14D4/16G 16GB,DDR4,12850,16,,
Crucial Technology CT8G4SFS824A.M8FJ 8GB,DDR4,12750,8,,
SK Hynix HMA851U6AFR6N-UH 4GB,DDR4,12750,4,,
Micron Technology 8ATF1G64AZ-2G3H1 8GB,DDR4,12700,8,,
Hynix Semiconductor (Hyundai Electronics) HMA451U6AFR8N-TF 4GB,DDR4,12550,4,,
Corsair CM4X16GE2666C16K4 16GB,DDR4,12550,16,,
Crucial Technology CT8G4DFD8213.C16FAR1 8GB,DDR4,12550,8,,
SK Hynix HMA451U6AFR8N-TF 4GB,DDR4,12550,4,,
G Skill Intl F4-3333C16-4GRRD 4GB,DDR4,12500,4,,
Corsair CMSO16GX4M2A2133C15 8GB,DDR4,12350,8,,
G Skill Intl F4-2800C16-8GRK 8GB,DDR4,12250,8,,
Micron Technology 16ATF1G64HZ-2G1A2 8GB,DDR4,12200,8,,
Corsair CMK16GX4M4A2666C15 4GB,DDR4,12150,4,,
Kingston MSI21D4S15HAG/8G 8GB,DDR4,12000,8,,
Micron Technology 8ATF1G64HZ-2G3H1 8GB,DDR4,12000,8,,
Corsair CMK64GX4M8Z2933C16 8GB,DDR4,11650,8,,
Mushkin 99[2/7/4]199F 8GB,DDR4,11550,8,,
V-Color Technology Inc. TL48G36S8KBNRGB18 8GB,DDR4,13700,8,,
Micron Technology 8ATF2G64AZ-3G2E1 16GB,DDR4,13650,16,,
Crucial Technology CT8G4DFD824A.C16FBD2 8GB,DDR4,13550,8,,
Crucial Technology CT4G4DFS824A.C8FF 4GB,DDR4,13450,4,,
Kingston XW21KG-MIE-NX 8GB,DDR4,13450,8,,
Micron Technology 8ATF2G64HZ-3G2B2 16GB,DDR4,13150,16,,
Corsair CM4X8GF2133C13K4 8GB,DDR4,13100,8,,
Crucial Technology CT16G4DFD824A.M16FB 16GB,DDR4,13050,16,,
Crucial Technology CT8G4SFRA32A.M4FE 8GB,DDR4,13050,8,,
Crucial Technology CT8G4DFD824A.C16FHP 8GB,DDR4,13050,8,,
G Skill Intl F4-2133C15-8GFT 8GB,DDR4,13000,8,,
Avexir Technologies Corporation DDR4-2400 CL16 8GB 8GB,DDR4,13000,8,,
Corsair CMK16GX4M1A2666C16 16GB,DDR4,13000,16,,
Crucial Technology 16G4UD2400.C16BD1 16GB,DDR4,12950,16,,
Kingston 9905678-043.A00G 8GB,DDR4,12850,8,,
A-DATA Technology AD4S320038G22-B 8GB,DDR4,12800,8,,
Kingston ACR24D4U7S8MB-8 8GB,DDR4,12750,8,,
SK Hynix HMA81GU6AFR8N-UH 8GB,DDR4,12750,8,,
Samsung M378A2K43BB1-CPB 16GB,DDR4,12750,16,,
Silicon Power Computer & Communications SP016GBSFU240B02 16GB,DDR4,12750,16,,
Kingston ACR32D4S2S1ME-8 8GB,DDR4,12750,8,,
Patriot Memory (PDP Systems) PSD48G240081 8GB,DDR4,12700,8,,
Crucial Technology CT16G4DFRA266.C16FP 16GB,DDR4,12700,16,,
Micron Technology 16ATF2G64AZ-2G3B1 16GB,DDR4,12700,16,,
Golden Empire CL15-15-15 D4-2133 8GB,DDR4,12650,8,,
Kingston 9905624-033.A00G 8GB,DDR4,12600,8,,
Wilk Elektronik S.A. GR2133D464L15S/8G 8GB,DDR4,12600,8,,
Smart Modular SF4641G8CK8IEHLSBG 8GB,DDR4,12600,8,,
Crucial Technology CT16G4SFS8266.C8FB 16GB,DDR4,12600,16,,
Kingston 9905624-010.A00G 4GB,DDR4,12450,4,,
Gloway International Co. Ltd. YCT4S2666D19081C 8GB,DDR4,12450,8,,
G Skill Intl F4-3466C16-16GTZ 16GB,DDR4,12450,16,,
SK Hynix GKE800UD102408-2400 8GB,DDR4,12400,8,,
Crucial Technology CT8G4DFS824A.C8FDD1 8GB,DDR4,12400,8,,
Crucial Technology CT8G4SFS8213.M8FB 8GB,DDR4,12200,8,,
Samsung M471A5244BB0-CRC 4GB,DDR4,12200,4,,
Golden Empire CL15-15-15 D4-3000 8GB,DDR4,12100,8,,
Hynix Semiconductor (Hyundai Electronics) HMA41GS6AFR8N-TF 8GB,DDR4,12100,8,,
SK Hynix HMA82GS7AFR8N-UH 16GB,DDR4,12050,16,,
Kingston 9905598-009.A00G 8GB,DDR4,11950,8,,
Corsair CMK16GX4M4A2133C15 4GB,DDR4,11900,4,,
Kingston 9905700-025.A00G 8GB,DDR4,11900,8,,
Corsair CMK64GX4M4A2400C14 16GB,DDR4,11850,16,,
Crucial Technology CT8G4DFD8213.C16FAD1 8GB,DDR4,11800,8,,
SanMax Technologies Inc. SMD4-U8G28MA-21P 8GB,DDR4,11700,8,,
Team Group Inc. DDR4 2666 8GB,DDR4,11700,8,,
G Skill Intl F4-3000C15-8GRR 8GB,DDR4,11250,8,,
G Skill Intl F4-3466C16-8GTZSW 8GB,DDR4,10950,8,,
Crucial Technology CT4G4DFS8213.C8FDD2 4GB,DDR4,13150,4,,
Crucial Technology CT8G4DFS824A.C8FAD1 8GB,DDR4,13000,8,,
Kingston 9905630-031.A00G 16GB,DDR4,12900,16,,
Micron Technology 4ATF1G64AZ-3G2B1 8GB,DDR4,12850,8,,
Wilk Elektronik S.A. GR2400S464L17S/8G 8GB,DDR4,12800,8,,
Crucial Technology CT8G4DFS8213.M8FB 8GB,DDR4,12800,8,,
SK Hynix HMA82GU6AFR8N-UH 16GB,DDR4,12800,16,,
Ramaxel Technology RMSA3260MD78HAF-2666 8GB,DDR4,12750,8,,
Crucial Technology CB16GS2666.C8ET 16GB,DDR4,12650,16,,
Team Group Inc. Team-Elite-2400 4GB,DDR4,12650,4,,
G Skill Intl F4-2133C15-4GVR 4GB,DDR4,12600,4,,
Micron Technology 8ATF1G64AZ-2G1A1 8GB,DDR4,12600,8,,
Patriot Memory (PDP Systems) PSD48G213381 8GB,DDR4,12550,8,,
Samsung M378A5244CB0-CRC 4GB,DDR4,12550,4,,
Kingston ACR24D4S7S1MB-4 4GB,DDR4,12400,4,,
Patriot Memory (PDP Systems) PSD48G266681S 8GB,DDR4,12300,8,,
Crucial Technology CT16G4DFS8266.C8FE 16GB,DDR4,12250,16,,
Micron Technology 4ATF51264HZ-2G6E1 4GB,DDR4,12250,4,,
Avant Technology J641GU48J5213NG 8GB,DDR4,12150,8,,
SanMax Technologies Inc. SMD-8G28HP-21P 8GB,DDR4,12050,8,,
SK Hynix HMA81GS6MFR8N-UH 8GB,DDR4,12050,8,,
Mushkin 99[2/7/4]200F 8GB,DDR4,12000,8,,
Samsung M471A5143EB0-CPB 4GB,DDR4,11900,4,,
Mushkin 99[2/7/4]209F 8GB,DDR4,11850,8,,
G Skill Intl F4-3000C14-16GVKD 16GB,DDR4,11850,16,,
SK Hynix HMA451U6MFR8N-TF 4GB,DDR4,11850,4,,
G Skill Intl F4-2133C15-4GRB 4GB,DDR4,11700,4,,
G Skill Intl F4-2133C15-16GRS 16GB,DDR4,11650,16,,
G Skill Intl F4-3333C16-4GRKD 4GB,DDR4,11600,4,,
Kingston K821PJ-MID 16GB,DDR4,11500,16,,
SK Hynix S949A4UUH-ITR 16GB,DDR4,11400,16,,
Mushkin MRA4S300GJJM16G 16GB,DDR4,11150,16,,
Corsair CMU32GX4M2C3333C16 16GB,DDR4,15100,16,,
Apacer Technology 78.DAGNN.4030B 16GB,DDR4,14050,16,,
Corsair CM4X8GE2400C16K4 8GB,DDR4,13450,8,,
V-Color Technology Inc. TL48G30S8KGRGB15 8GB,DDR4,13300,8,,
Crucial Technology CT8G4DFS824A.C8FJ 8GB,DDR4,13250,8,,
INTENSO 5641160 8GB,DDR4,13150,8,,
Lexar Co Limited LD4AS008G-H2666GST 8GB,DDR4,13000,8,,
Kingston KHX2133C14/16G 16GB,DDR4,12950,16,,
Crucial Technology CT16G4DFD8213.C16FAD 16GB,DDR4,12900,16,,
Hoodisk Electronics Co Ltd GKE800SO102408-2400 8GB,DDR4,12850,8,,
Corsair CM4X16GE2400C16S4 16GB,DDR4,12800,16,,
Hynix Semiconductor (Hyundai Electronics) HMA82GU6AFR8N-UH 16GB,DDR4,12700,16,,
Kingston 9905625-066.A00G 16GB,DDR4,12700,16,,
Samsung M378A1K43BB1-CPB 8GB,DDR4,12600,8,,
SK Hynix HMA82GS6CJR8N-VK 16GB,DDR4,12600,16,,
Patriot Memory (PDP Systems) PSD416G266681 16GB,DDR4,12550,16,,
Micron Technology 16ATF2G64AZ-2G1A1 16GB,DDR4,12550,16,,
Kingston MSI24D4S7D8MB-16 16GB,DDR4,12550,16,,
Samsung M378A1G43DB0-CPB 8GB,DDR4,12550,8,,
Corsair CMD128GX4M8B3000C16 16GB,DDR4,12500,16,,
Micron Technology 4ATF51264HZ-2G3E1 4GB,DDR4,12500,4,,
AMD R948G2806U2S 8GB,DDR4,12450,8,,
Wilk Elektronik S.A. GR2666D464L19S/8G 8GB,DDR4,12450,8,,
Kingston 9905624-013.A00G 8GB,DDR4,12350,8,,
Corsair CMSO8GX4M1A2133C15 8GB,DDR4,12100,8,,
SK Hynix HMA451S6AFR8N-TF 4GB,DDR4,12050,4,,
G Skill Intl F4-2800C14-16GTZ 16GB,DDR4,12000,16,,
Corsair CMD16GX4M4B2400C10 4GB,DDR4,11950,4,,
Panram International Corporation PUD42400C154G2NJW 4GB,DDR4,11950,4,,
Kingston CBD24D4S7S8MB-8 8GB,DDR4,11950,8,,
Samsung M471A1G43DB0-CPB 8GB,DDR4,11950,8,,
SK Hynix HMA41GS6AFR8N-TF 8GB,DDR4,11950,8,,
Hynix Semiconductor (Hyundai Electronics) HMA851S6AFR6N-UH 4GB,DDR4,11850,4,,
Kingston KHX2133C13D4/4GX 4GB,DDR4,11750,4,,
Kingston 9905668-002.A00G 8GB,DDR4,11750,8,,
Essencore Limited KD48GU481-26N1600 8GB,DDR4,11700,8,,
Corsair �MK16GX4M2B3200C16 8GB,DDR4,11500,8,,
Crucial Technology BLS4G4D240FSA.8FAD 4GB,DDR4,11500,4,,
Micron Technology 16ATF1G64AZ-2G1A1 8GB,DDR4,11450,8,,
Micron Technology CT8G4DFD8213.16FA2 8GB,DDR4,11050,8,,
Kingston 9905630-039.A00G 16GB,DDR4,11000,16,,
Galaxy Microsystems Ltd. GOC2017-Fugger 8GB,DDR4,15300,8,,
Samsung V-GeN D4S16GL32A8TS 16GB,DDR4,14600,16,,
Kingston X2YH1K-MIE 16GB,DDR4,13400,16,,
Crucial Technology BLS8G4D26BFSE.16FB 8GB,DDR4,13300,8,,
G Skill Intl F4-2400C15-8GNS 8GB,DDR4,13150,8,,
Crucial Technology CT4G4DFS824A.C8FBR2 4GB,DDR4,13100,4,,
Crucial Technology CT4G4DFS824A.C8FDD2 4GB,DDR4,12950,4,,
Kingston 9905630-025.A00G 8GB,DDR4,12750,8,,
G Skill Intl F4-2800C17-8GIS 8GB,DDR4,12750,8,,
G Skill Intl F4-2133C15-8GIS 8GB,DDR4,12750,8,,
Crucial Technology CT16G4DFD824A.C16FBR 16GB,DDR4,12700,16,,
Kingston 9905625-029.A00G 8GB,DDR4,12500,8,,
Kingston KHX2666C15/8G 8GB,DDR4,12500,8,,
Transcend Information TS2GLH64V1B 16GB,DDR4,12400,16,,
Corsair CMK8GX4M2B4200C19 4GB,DDR4,12400,4,,
Avant Technology J642GU42J5213N1 16GB,DDR4,12350,16,,
Heoriady HX2666DT8G-TD 8GB,DDR4,12350,8,,
Mushkin 99[2/7/4]191[F/T] 4GB,DDR4,12300,4,,
Kingston 9905624-023.A00G 8GB,DDR4,12300,8,,
A-DATA Technology AO1P24HC8T1-BSFS 8GB,DDR4,12250,8,,
Kingston KHX3300C16D4/4GX 4GB,DDR4,12150,4,,
Kingston 9905624-008.A00G 8GB,DDR4,12150,8,,
Crucial Technology CT8G4SFD8213.C16FBD1 8GB,DDR4,12050,8,,
Micron Technology 16ATF2G64HZ-2G1B1 16GB,DDR4,12000,16,,
